id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3673115,Living in the heart of Zürich.,6225442,1462701066571568508,Gian,Kreis 4,Langstrasse,47.37551,8.53039,Private room,,20,7,2019-11-10,0.05,1,0,0,
3680581,Bright Airy Apt on Lake Zurich,4800368,1462665632108585171,Lizanne,Kreis 8,Seefeld,47.35603,8.55208,Entire home/apt,0,2,25,2023-07-03,0.17,1,363,0,
3681649,AEGl - Studio Zürich-downtown,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36945,8.55696,Entire home/apt,,3,19,2026-06-16,0.18,15,87,8,
3681861,A1r - 2 bedroom Zürich downtown,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36946,8.55693,Entire home/apt,0,3,64,2026-06-13,0.46,15,60,8,
3681913,A1l - 2 bedroom Zürich Downtown,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36956,8.55737,Entire home/apt,0,3,38,2026-06-23,0.27,15,57,6,
3682024,A3r - 2 bed room Zürich downtown,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36947,8.5569,Entire home/apt,,5,82,2026-06-23,0.61,15,71,17,
3682156,A4r - 2BR cozy city roof ap.,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36938,8.55729,Entire home/apt,,5,120,2026-06-22,0.86,15,78,31,
3682291,A5r - TOP Studio attique+ terrace downtown Zürich,18715465,1463059615258550802,Joy,Kreis 7,Hottingen,47.36952,8.55694,Entire home/apt,,5,40,2026-05-31,0.29,15,58,4,
3683319,B4l - 3bedroom in the heart of Zurich,18715465,1463059615258550802,Joy,Kreis 8,Weinegg,47.36231,8.55827,Entire home/apt,0,5,111,2025-12-27,0.81,15,54,3,
3813905,Stadt Zürich-kleines Studio,564859566,1698735279012732542,Apartments Zuerich,Kreis 9,Altstetten,47.38055,8.48124,Entire home/apt,0,1,543,2026-06-29,4.07,15,281,43,
